,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,h_low,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[[0.]],280.0000000000001,1960.000000000001,280.0000000000001,RP,[0.001],0.1,0.01,200000.0,2.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5120889016060065,none
1,[[0.]],280.0000000000001,3080.0000000000014,1400.0000000000005,RP,[0.001],0.1,0.01,200000.0,6.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,0.40248633857656957,none
2,[[0.]],280.0000000000001,4200.000000000002,2520.000000000001,RP,[0.001],0.1,0.01,200000.0,10.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,0.40306502648172826,none
3,[[0.]],478.7932650694752,3351.5528554863263,478.7932650694752,RP,[0.001],0.1,0.01,200000.0,2.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5981015086107587,none
4,[[0.]],478.7932650694752,5266.7259157642275,2393.966325347376,RP,[0.001],0.1,0.01,200000.0,6.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,0.48702975134688375,none
5,[[0.]],478.7932650694752,7181.898976042128,4309.139385625276,RP,[0.001],0.1,0.01,200000.0,10.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,0.48848656083528447,none
6,[[0.]],818.7249666996031,5731.074766897222,818.7249666996031,RP,[0.001],0.1,0.01,200000.0,2.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,0.7833447934248605,none
7,[[0.]],818.7249666996031,9005.974633695634,4093.6248334980155,RP,[0.001],0.1,0.01,200000.0,6.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,0.6333473122088525,none
8,[[0.]],818.7249666996031,12280.874500494047,7368.524700296428,RP,[0.001],0.1,0.01,200000.0,10.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,0.42389267070629955,none
9,[[0.]],1400.0000000000005,9800.000000000004,1400.0000000000005,RP,[0.001],0.1,0.01,200000.0,2.0,38.3018078782174,Zilany2014,Zilany2014,40.0,51.0,30.0,1.5909675952628295,none
10,[[0.]],1400.0000000000005,15400.000000000005,7000.000000000002,RP,[0.001],0.1,0.01,200000.0,6.0,38.3018078782174,Zilany2014,Zilany2014,40.0,51.0,30.0,0.9748233586209251,none
11,[[0.]],1400.0000000000005,21000.000000000007,12600.000000000004,RP,[0.001],0.1,0.01,200000.0,10.0,38.3018078782174,Zilany2014,Zilany2014,40.0,51.0,30.0,0.5421593529996154,none
